7388;#doc=childhood.2.txt;;;;;;;;;;;;;;;;;;;;;;;;
7389;1;Даня;ДАНЯ;S m anim nom sg persn;;;я;н;а;д;;;S;ДАНЯ;S m anim nom sg;;;;;;;;;;
7390;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;;;;;;;;;;
7391;3;Его;ОН;SPRO sg 3p m acc;;;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc;;;;;;;;;;
7392;4;хотя бы;хотя бы;ZERO;;;ы;б;;я;т;о;-;хотя бы;-;;;;;;;;;;
7393;5;завязывать;ЗАВЯЗЫВАТЬ;V ipf - - inf - -;;;ь;т;а;в;ы;з;V;ЗАВЯЗЫВАТЬ;V ipf - - inf - -;;;;;;;;;;
7394;6;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ;;;;;;;;;;
7395;7;развязывать;РАЗВЯЗЫВАТЬ;V ipf - - inf - -;;;ь;т;а;в;ы;з;V;РАЗВЯЗЫВАТЬ;V ipf - - inf - -;;;;;;;;;;
7396;8;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART;;;;;;;;;;
7397;9;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -;;;;;;;;;;
7398;10;...;...;SENT;;;;;;;;;SENT;...;SENT;;;;;;;;;;
7399;;;;;;;;;;;;;;;;;;;;;;;;;
7400;1;Рита;РИТА;S f anim nom sg persn;;;а;т;и;р;;;S;РИТА;S f anim nom sg;;;;;;;;;;
7401;2;@...;@...;PUNC;;;;;;;;;PUNC;@...;PUNC;;;;;;;;;;
7402;3;Клапан;КЛАПАН;S m inan nom sg;;;н;а;п;а;л;к;S;КЛАПАН;S m inan nom sg;;;;;;;;;;
7403;4;на;НА;PR;;;а;н;;;;;PR;НА;PR;;;;;;;;;;
7404;5;жопе;ЖОПА;S f inan loc sg;;;е;п;о;ж;;;S;ЖОПА;S f inan loc sg;;;;;;;;;;
7405;6;?;?;SENT;;;;;;;;;SENT;?;SENT;;;;;;;;;;
7406;;;;;;;;;;;;;;;;;;;;;;;;;
7407;1;Даня;ДАНЯ;S m anim nom sg persn;;;я;н;а;д;;;S;ДАНЯ;S m anim nom sg;;;;;;;;;;
7408;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;;;;;;;;;;
7409;3;Ромпер;РОМПЕР;S m anim nom sg;;;р;е;п;м;о;р;S;РОМПЕР;S m anim gen sg;;;;;;;;;;
7410;4;.;.;SENT;;;;;;;;;SENT;.;SENT;;;;;;;;;;
7411;;;;;;;;;;;;;;;;;;;;;;;;;
7412;1;Рита;РИТА;S f anim nom sg persn;;;а;т;и;р;;;S;РИТА;S f anim nom sg;;;;;;;;;;
7413;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;;;;;;;;;;
7414;3;Нет;НЕТ;PART;;;т;е;н;;;;PART;НЕТ;PART;;;;;;;;;;
7415;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;;;;;;;;;;
7416;5;почему;ПОЧЕМУ;ADV -;;;у;м;е;ч;о;п;ADV;ПОЧЕМУ;ADV -;;;;;;;;;;
7417;6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;;;;;;;;;;
7418;7;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -;;;;;;;;;;
